id,rate,year
1,0.09,2001
1,0.104,2002
1,0.781,2003
1,0.639,2004
1,0.123,2005
1,0.502,2006
1,0.608,2007
1,0.453,2008
1,0.147,2009
1,0.201,2010
1,0.535,2011
2,0.261,2001
2,0.041,2002
2,0.628,2003
2,0.048,2004
2,0.014,2005
2,0.482,2006
2,0.669,2007
2,0.396,2008
2,0.029,2009
2,0.591,2010
2,0.921,2011
3,0.338,2001
3,0.846,2002
3,0.373,2003
3,0.004,2004
3,0.313,2005
3,0.295,2006
3,0.163,2007
3,0.291,2008
3,0.785,2009
3,0.748,2010
3,0.207,2011
4,0.747,2001
4,0.102,2002
4,0.627,2003
4,0.173,2004
4,0.972,2005
4,0.124,2006
4,0.424,2007
4,0.474,2008
4,0.283,2009
4,0.562,2010
4,0.427,2011
5,0.501,2001
5,0.313,2002
5,0.981,2003
5,0.815,2004
5,0.981,2005
5,0.174,2006
5,0.039,2007
5,0.865,2008
5,0.427,2009
5,0.933,2010
5,0.5,2011
6,0.051,2001
6,0.558,2002
6,0.604,2003
6,0.904,2004
6,0.886,2005
6,0.538,2006
6,0.827,2007
6,0.3,2008
6,0.602,2009
6,0.599,2010
6,0.02,2011
7,0.467,2001
7,0.018,2002
7,0.141,2003
7,0.201,2004
7,0.169,2005
7,0.54,2006
7,0.61,2007
7,0.161,2008
7,0.164,2009
7,0.344,2010
7,0.99,2011
8,0.945,2001
8,0.769,2002
8,0.637,2003
8,0.381,2004
8,0.953,2005
8,0.474,2006
8,0.433,2007
8,0.591,2008
8,0.661,2009
8,0.921,2010
8,0.98,2011
9,0.174,2001
9,0.728,2002
9,0.694,2003
9,0.365,2004
9,0.995,2005
9,0.804,2006
9,0.185,2007
9,0.309,2008
9,0.99,2009
9,0.793,2010
9,0.676,2011
10,0.71,2001
10,0.735,2002
10,0.269,2003
10,0.156,2004
10,0.865,2005
10,0.463,2006
10,0.083,2007
10,0.776,2008
10,0.3,2009
10,0.909,2010
10,0.195,2011
11,0.898,2001
11,0.827,2002
11,0.971,2003
11,0.704,2004
11,0.795,2005
11,0.493,2006
11,0.436,2007
11,0.591,2008
11,0.225,2009
11,0.855,2010
11,0.652,2011
12,0.094,2001
12,0.629,2002
12,0.959,2003
12,0.345,2004
12,0.362,2005
12,0.309,2006
12,0.87,2007
12,0.952,2008
12,0.523,2009
12,0.321,2010
12,0.047,2011
13,0.592,2001
13,0.725,2002
13,0.371,2003
13,0.643,2004
13,0.325,2005
13,0.147,2006
13,0.715,2007
13,0.088,2008
13,0.255,2009
13,0.772,2010
13,0.72,2011
14,0.411,2001
14,0.608,2002
14,0.919,2003
14,0.53,2004
14,0.808,2005
14,0.288,2006
14,0.494,2007
14,0.955,2008
14,0.897,2009
14,0.946,2010
14,0.67,2011
15,0.467,2001
15,0.85,2002
15,0.418,2003
15,0.92,2004
15,0.166,2005
15,0.044,2006
15,0.334,2007
15,0.154,2008
15,0.805,2009
15,0.052,2010
15,0.437,2011
16,0.252,2001
16,0.505,2002
16,0.463,2003
16,0.945,2004
16,0.659,2005
16,0.946,2006
16,0.244,2007
16,0.218,2008
16,0.082,2009
16,0.407,2010
16,0.606,2011
17,0.433,2001
17,0.172,2002
17,0.89,2003
17,0.464,2004
17,0.068,2005
17,0.097,2006
17,0.879,2007
17,0.219,2008
17,0.197,2009
17,0.953,2010
17,0.628,2011
18,0.253,2001
18,0.014,2002
18,0.8,2003
18,0.938,2004
18,0.708,2005
18,0.725,2006
18,0.462,2007
18,0.679,2008
18,0.585,2009
18,0.782,2010
18,0.4,2011
19,0.7,2001
19,0.158,2002
19,0.139,2003
19,0.402,2004
19,0.54,2005
19,0.195,2006
19,0.568,2007
19,0.053,2008
19,0.412,2009
19,0.318,2010
19,0.501,2011
20,0.056,2001
20,0.541,2002
20,0.478,2003
20,0.112,2004
20,0.865,2005
20,0.128,2006
20,0.142,2007
20,0.361,2008
20,0.415,2009
20,0.166,2010
20,0.39,2011
21,0.903,2001
21,0.165,2002
21,0.816,2003
21,0.875,2004
21,0.943,2005
21,0.329,2006
21,0.304,2007
21,0.475,2008
21,0.729,2009
21,0.609,2010
21,0.826,2011
22,0.686,2001
22,0.947,2002
22,0.627,2003
22,0.521,2004
22,0.62,2005
22,0.305,2006
22,0.81,2007
22,0.438,2008
22,0.807,2009
22,0.644,2010
22,0.462,2011
23,0.18,2001
23,0.284,2002
23,0.421,2003
23,0.245,2004
23,0.107,2005
23,0.393,2006
23,0.426,2007
23,0.818,2008
23,0.565,2009
23,0.17,2010
23,0.251,2011
24,0.929,2001
24,0.522,2002
24,0.291,2003
24,0.436,2004
24,0.542,2005
24,0.508,2006
24,0.471,2007
24,0.428,2008
24,0.493,2009
24,0.125,2010
24,0.643,2011
25,0.88,2001
25,0.497,2002
25,0.864,2003
25,0.076,2004
25,0.708,2005
25,0.553,2006
25,0.307,2007
25,0.068,2008
25,0.223,2009
25,0.056,2010
25,0.599,2011
26,0.365,2001
26,0.136,2002
26,0.774,2003
26,0.629,2004
26,0.131,2005
26,0.234,2006
26,0.382,2007
26,0.964,2008
26,0.502,2009
26,0.837,2010
26,0.133,2011
27,0.001,2001
27,0.283,2002
27,0.374,2003
27,0.604,2004
27,0.625,2005
27,0.193,2006
27,0.05,2007
27,0.488,2008
27,0.543,2009
27,0.121,2010
27,0.243,2011
28,0.284,2001
28,0.646,2002
28,0.329,2003
28,0.607,2004
28,0.32,2005
28,0.696,2006
28,0.329,2007
28,0.983,2008
28,0.629,2009
28,0.007,2010
28,0.275,2011
29,0.547,2001
29,0.453,2002
29,0.151,2003
29,0.065,2004
29,0.031,2005
29,0.255,2006
29,0.718,2007
29,0.367,2008
29,0.976,2009
